"build_time_min","deploy_time_min","commit_size_loc","num_bugs","test_coverage_pct","ticket_resolution_h","team","module","priority","deploy_status"
29.91,10.05,136,1,84.64,10.06,"Alpha","auth","critica","rolled_back"
16.44,18.17,153,2,54.17,2.4,"Gamma","ui","media","success"
30.07,10.27,154,2,50.37,5.27,"Alpha","core","alta","success"
15.44,14.22,149,1,89.28,11.31,"Delta","auth","media","success"
9.66,1.63,137,2,54.8,1.49,"Beta","auth","media","success"
35.53,13.94,131,1,95.26,22.22,"Beta","database","baja","rolled_back"
5.57,16.08,132,0,75.43,21.45,"Gamma","ui","media","failed"
21.8,0.87,151,1,97.11,6.43,"Beta","ui","media","failed"
23.75,1.22,148,2,81.44,46.4,"Gamma","core","baja","success"
27.6,11.77,154,1,47.62,61.36,"Beta","core","baja","success"
15.98,15.91,140,1,98.2,49.83,"Beta","core","baja","success"
22.75,14.84,157,1,44.89,15.47,"Gamma","database","critica","success"
43.02,5.74,152,1,60.64,49.65,"Gamma","database","baja","success"
22.51,16.2,141,0,89.42,10.19,"Gamma","core","media","success"
40.23,8.79,155,0,45.81,27.2,"Gamma","ui","alta","success"
41.28,3.72,139,1,78.69,60.27,"Gamma","auth","baja","success"
27.98,12.28,155,1,84.04,32.25,"Alpha","database","critica","success"
19.37,16.6,137,3,78.77,8.23,"Gamma","database","media","success"
7.9,15.73,151,1,44.56,18.65,"Beta","core","media","success"
42.19,2.09,157,3,86.44,26.76,"Gamma","ui","baja","success"
14.6,1.88,172,1,62.49,20.63,"Beta","api","media","success"
4.14,19.2,139,1,63.98,2.53,"Beta","api","media","success"
42.73,2.26,161,2,83.54,20.1,"Beta","auth","alta","success"
32.85,4.64,172,2,51.88,15.62,"Beta","ui","alta","failed"
7.69,9.06,177,1,54.27,27.55,"Gamma","auth","baja","success"
25.39,15.67,133,2,72.64,27.07,"Delta","database","baja","success"
43,17.1,145,3,91.78,23.04,"Alpha","ui","baja","success"
26.97,12.68,156,1,57.9,11.98,"Beta","core","media","success"
19.1,8.07,149,1,42.92,70.47,"Alpha","database","media","success"
29.68,3.3,165,2,43.73,9.26,"Alpha","core","alta","failed"
15.41,17.69,142,1,40.18,21.24,"Beta","core","alta","success"
14.89,17.54,144,0,93.91,61.7,"Gamma","auth","media","success"
11.06,7.1,160,0,97.73,41.61,"Gamma","api","media","success"
17.57,10.51,171,1,52.24,6.79,"Gamma","core","media","rolled_back"
44.31,10.13,149,2,85.81,1.4,"Alpha","ui","baja","rolled_back"
8.21,15.97,141,1,50.37,13.53,"Beta","auth","alta","success"
5.46,18.41,144,2,97.76,2.95,"Alpha","database","media","success"
7.67,11.93,162,0,58.71,7.65,"Beta","ui","baja","success"
31.52,16.56,136,1,79.49,61.68,"Delta","core","media","success"
28.44,16.25,150,0,74.48,39.31,"Delta","ui","critica","success"
40.28,5.99,166,0,69.91,4.2,"Delta","ui","media","success"
30.78,10.42,144,0,98.06,21.05,"Delta","auth","alta","success"
33.56,6.26,161,0,78.32,27.15,"Gamma","database","alta","success"
24.17,17.42,166,0,51.67,3.23,"Beta","auth","baja","success"
30.2,14.41,122,1,54.88,6.32,"Beta","core","baja","success"
37.25,7.57,152,1,43.37,52.63,"Gamma","database","baja","failed"
35.7,19.94,144,0,94.9,26.19,"Delta","ui","baja","success"
44.12,14.17,151,2,67.1,12.53,"Alpha","core","media","failed"
20.62,5.13,145,0,58.75,64.46,"Beta","core","media","success"
15.06,13.13,150,1,68.6,9.94,"Beta","api","media","success"
19.31,7.21,166,2,62.25,21.99,"Gamma","core","media","success"
1.96,16.11,161,1,77.62,59.35,"Delta","core","critica","success"
9.5,6.84,142,2,52.25,23.11,"Delta","auth","baja","success"
38.16,5.71,149,2,72.99,5.61,"Beta","database","critica","success"
11.56,1.86,151,4,79.12,21.38,"Alpha","auth","alta","success"
11.9,11.63,149,2,83.72,36.1,"Beta","api","baja","success"
4.84,0.58,136,2,46.36,52.94,"Delta","api","baja","success"
12.19,5.98,148,3,72.04,4.36,"Gamma","api","media","success"
33.35,5.96,161,1,65.7,14.25,"Gamma","api","baja","success"
38.36,16.46,153,2,89.24,96.39,"Beta","auth","media","success"
23.14,2.79,133,0,40.58,23.82,"Gamma","database","media","success"
18.37,5.61,138,0,76.16,80.53,"Alpha","auth","baja","success"
12.22,9.07,163,2,75.92,4.14,"Delta","core","baja","success"
6.33,19.19,188,0,76.49,17.23,"Delta","core","baja","success"
18.46,6.69,151,0,82.34,101.02,"Gamma","api","media","success"
26.38,15.81,159,3,53.59,53.54,"Delta","auth","media","success"
10.93,3.06,174,3,91.33,2.87,"Beta","api","baja","failed"
20.85,10.14,138,1,40.57,24.83,"Alpha","core","baja","success"
10.98,10.74,138,4,54.05,0.38,"Gamma","auth","baja","success"
23.35,17.78,114,1,90.32,2.99,"Delta","database","media","success"
16.89,7.55,163,0,43.22,47.43,"Alpha","ui","baja","success"
29.77,9.59,162,2,89.69,7.92,"Alpha","api","alta","success"
17.8,9.08,149,0,97.18,0.62,"Beta","database","alta","rolled_back"
16.96,14.41,163,3,76.47,59.17,"Beta","database","baja","success"
24.72,1.5,146,2,42.43,10.88,"Alpha","database","baja","success"
33.7,14.18,155,1,76.84,63.57,"Gamma","auth","baja","rolled_back"
11.12,13.44,164,1,96.54,4.4,"Beta","auth","critica","success"
19.45,13.45,151,1,66.26,16.94,"Beta","ui","alta","success"
13.06,10.25,158,2,48.52,70.48,"Beta","auth","baja","success"
28.9,5.87,138,2,64.05,33.99,"Delta","core","baja","success"
9.5,7.78,139,2,81.43,15.79,"Beta","auth","media","success"
39.07,2.56,152,4,68.13,21.09,"Delta","ui","baja","success"
33.98,5.47,150,1,71.84,9.49,"Beta","auth","media","success"
30.57,1.4,155,3,54.6,15.79,"Delta","core","baja","success"
28.38,9.66,155,0,67.39,24.22,"Alpha","auth","baja","success"
17.69,6.82,160,2,87.37,26.47,"Beta","ui","media","success"
24.55,4.59,159,3,51.48,25.42,"Gamma","database","baja","success"
39.55,15.18,169,1,65.36,0.66,"Beta","api","critica","success"
26.81,5.26,158,0,55.33,4.52,"Alpha","api","media","success"
38.03,8.41,149,0,97.42,28.71,"Gamma","ui","media","rolled_back"
15.09,14.22,126,2,54.7,52.11,"Gamma","ui","critica","success"
32.31,2.73,155,1,45.82,8.05,"Beta","api","alta","success"
13.03,3.13,166,2,83.76,16.55,"Alpha","api","critica","success"
27.35,19.7,150,5,68.45,16.75,"Delta","core","media","success"
22.44,19.55,153,0,80.94,6.29,"Beta","auth","media","success"
13.03,15.29,132,2,62.74,65.76,"Beta","database","alta","success"
26.06,1.09,138,0,61.45,30.94,"Alpha","core","alta","success"
41.22,19.5,174,1,57.03,6.46,"Beta","auth","media","success"
40.73,15.33,145,0,75.99,17.56,"Gamma","database","media","success"
13.43,17.81,158,1,81.76,19.15,"Gamma","auth","critica","success"
15.48,4.83,156,3,80.25,34.72,"Alpha","auth","baja","success"
44.38,5.77,151,0,84.85,39.47,"Beta","core","media","success"
28.47,12.34,139,0,62.44,14.32,"Gamma","ui","critica","success"
42.27,7.13,155,3,57.54,28.47,"Alpha","auth","media","success"
21.79,15.26,142,1,60.71,29.58,"Delta","api","media","success"
19.2,1.96,159,1,51.79,11.74,"Gamma","database","alta","success"
30.18,17.87,160,1,94.8,13.68,"Gamma","database","media","success"
8.13,15.52,149,0,46.26,30.1,"Gamma","auth","critica","success"
26.42,17.71,152,0,40.83,72.04,"Alpha","database","media","success"
11.88,18.98,144,0,88.94,6.09,"Delta","database","alta","success"
43.36,6.82,149,3,75.33,26.42,"Gamma","auth","baja","rolled_back"
27.66,3.98,161,1,87.74,68.93,"Delta","api","media","success"
23.9,3.42,142,2,97.21,4.45,"Alpha","core","critica","success"
19.01,2.74,164,1,72.08,4.82,"Alpha","core","alta","success"
39.79,9.69,156,1,56.96,49.15,"Gamma","database","media","failed"
17.34,16.32,167,1,92.94,1.8,"Delta","api","baja","success"
14.04,17.4,149,0,53.25,35.57,"Alpha","auth","baja","success"
8.92,1.76,126,1,49.44,38.66,"Gamma","core","alta","failed"
8.99,14.77,141,3,85.61,9.82,"Beta","api","media","success"
22.47,19.47,161,0,83.23,14.38,"Delta","core","media","success"
12.5,6.57,157,2,91.66,19.02,"Delta","auth","alta","failed"
10.91,14.47,170,1,81.88,40.21,"Delta","core","media","success"
30.84,12.11,146,2,54.06,4.15,"Beta","core","baja","rolled_back"
3.57,1.34,168,0,80.08,1.15,"Gamma","ui","media","success"
31.99,9.26,142,2,91.45,45.36,"Delta","api","critica","success"
16.81,12.95,155,1,99.01,31.6,"Gamma","auth","baja","success"
19.29,16.11,139,1,49.02,0.26,"Alpha","auth","baja","success"
37.21,11.07,152,2,74.02,3.13,"Beta","api","alta","success"
41.47,17.7,159,2,56.55,18.06,"Gamma","database","media","success"
13.79,0.63,149,2,40.72,4.44,"Delta","database","media","success"
43.31,9.21,161,1,85.22,27.88,"Beta","core","baja","success"
33.19,9.92,156,5,62.13,40.27,"Gamma","ui","baja","success"
31.36,15.97,149,2,85.21,77.48,"Delta","ui","media","success"
3.8,5.93,148,0,46.74,122.52,"Alpha","ui","baja","success"
18.69,12.02,134,2,81.29,11.59,"Delta","auth","alta","success"
22.29,4.16,162,2,54.53,53.91,"Gamma","core","media","success"
25.87,16.24,178,2,49.93,17.15,"Gamma","api","baja","success"
31.87,12.09,149,1,72.24,15.69,"Beta","ui","critica","failed"
41.33,5.81,152,2,89.81,8.36,"Delta","database","baja","success"
28.4,16.15,160,1,53.6,3.53,"Gamma","database","media","success"
20.14,12.3,169,1,78.54,83.01,"Alpha","ui","alta","success"
25.08,19.18,152,1,77.96,1.61,"Alpha","database","baja","success"
4.04,3.98,149,2,97.15,13.34,"Gamma","core","alta","success"
12.85,0.58,151,1,40.72,9.7,"Alpha","core","media","success"
18.78,7.75,152,2,56.84,0.23,"Delta","ui","media","success"
10.1,15.54,154,1,94.47,10.03,"Gamma","api","media","success"
37.69,11.68,141,1,98.28,16.56,"Beta","auth","baja","success"
8.15,3.82,182,0,86.87,14.63,"Gamma","ui","baja","failed"
36.45,2.24,148,0,72.94,5.88,"Beta","core","media","rolled_back"
25.29,17.59,147,1,74.61,21.19,"Delta","database","critica","success"
30.31,3.34,159,0,98.97,6.06,"Alpha","database","critica","success"
8.97,12.89,149,1,74.62,60.25,"Alpha","api","baja","success"
29.04,9.2,138,0,51.21,40.19,"Gamma","api","baja","success"
15.07,18.55,145,1,64.76,21.8,"Alpha","database","baja","success"
33.02,12.43,136,2,55.03,6.17,"Gamma","auth","critica","success"
18.85,1.85,158,3,67.55,7.64,"Gamma","core","baja","failed"
43.67,10.58,129,1,73.51,56.29,"Delta","database","alta","success"
43.58,13.95,130,4,89.77,1.12,"Gamma","auth","critica","success"
33.11,9.96,170,1,60.09,16.23,"Delta","api","media","success"
12.69,12.51,138,5,82.67,7.51,"Alpha","auth","alta","success"
11.15,9.84,145,2,57.69,61.74,"Beta","api","baja","success"
27.3,17.13,149,2,60.49,17.1,"Beta","database","media","success"
13.14,5.72,159,1,95.81,38.65,"Beta","auth","alta","failed"
24.6,8.47,148,2,41.12,27.42,"Alpha","auth","media","success"
35.66,16.09,142,1,51.02,38.74,"Alpha","database","baja","success"
8.81,17.54,157,1,48.52,27.83,"Delta","ui","media","success"
19.09,11.01,149,1,97.59,28.34,"Delta","auth","baja","success"
22.01,6.9,151,1,90.14,13.79,"Delta","api","critica","success"
39.26,11.78,142,0,71.69,73.77,"Beta","ui","critica","success"
41.77,7.01,170,1,55.55,7.75,"Delta","ui","critica","failed"
39.87,3.59,135,5,68.55,19.12,"Gamma","auth","baja","success"
30.83,10.45,137,1,90.24,12.18,"Alpha","ui","media","success"
42.83,1.21,130,0,46.82,51.55,"Alpha","database","baja","success"
23.97,3.28,150,0,88.45,10.06,"Gamma","core","media","success"
26.58,3.85,143,1,72.18,17.77,"Beta","ui","baja","failed"
16.13,6.82,159,0,77.2,3.29,"Gamma","auth","baja","success"
16.61,7.39,141,0,52.56,12.08,"Gamma","auth","alta","success"
2.37,17.4,158,1,83.17,19.65,"Delta","api","media","rolled_back"
23.37,7.45,178,2,99.52,0.11,"Delta","auth","media","success"
39.39,19.04,133,1,88.23,0,"Alpha","database","baja","success"
1.77,9.91,134,2,57.16,8.89,"Gamma","ui","alta","success"
4.63,17.41,170,2,42.23,49.06,"Beta","api","critica","success"
8.64,6.69,137,1,77.52,23.23,"Beta","database","critica","success"
35.01,7.04,178,0,71.53,10.87,"Gamma","core","media","success"
33.48,3.65,156,1,72.35,26.51,"Delta","auth","baja","success"
43.78,12.69,148,0,50.06,5.61,"Delta","api","baja","failed"
21.79,4.08,143,0,81.79,22.09,"Beta","ui","media","success"
4.74,11.01,128,1,51.7,4.29,"Beta","database","alta","success"
29.72,4.33,136,3,48.13,41.15,"Beta","database","baja","failed"
34.5,2.53,158,1,87.82,16.6,"Alpha","core","alta","success"
7.46,6.94,165,0,43.32,5.49,"Gamma","core","media","success"
18.75,12.23,126,3,42.01,5.63,"Gamma","core","critica","success"
11.29,13.96,151,1,92.08,13.32,"Alpha","database","media","success"
4.02,4.5,156,2,85.11,9.91,"Beta","api","media","failed"
18.72,8.59,142,2,84.44,15.06,"Delta","ui","baja","failed"
4.32,3.32,154,2,58.85,4.24,"Delta","database","media","success"
11.33,4.55,148,0,97.55,1.23,"Gamma","auth","alta","failed"
3.88,15.44,145,4,81.63,3.58,"Gamma","ui","baja","success"
30.66,9.89,155,1,83.38,10.13,"Alpha","auth","media","success"
14.45,5.17,144,3,93.9,63.87,"Gamma","auth","baja","success"
5.88,16.03,154,0,89.39,12.48,"Delta","database","baja","success"
4.63,9.13,163,1,68.37,17.84,"Beta","core","baja","success"
39.8,3.81,150,1,96.98,21.61,"Alpha","auth","baja","success"
34.31,3.72,167,0,90.48,4.6,"Delta","auth","alta","failed"
37.02,19.39,137,0,88.08,80.91,"Delta","database","baja","success"
44.22,10.68,158,0,75.18,19.26,"Alpha","core","alta","success"
6.01,10.69,152,2,81.28,61.95,"Beta","ui","baja","failed"
5.81,13.93,157,1,89.85,41.38,"Alpha","api","baja","success"
36.25,15.87,158,1,50.51,36.55,"Delta","api","media","success"
35.63,14,140,2,92.47,4.05,"Alpha","ui","media","success"
1.91,17.65,156,1,73.45,9.71,"Beta","api","media","rolled_back"
35.39,3.25,142,1,87.78,11.95,"Delta","auth","baja","success"
33.23,5.67,161,3,83.91,0.58,"Beta","database","critica","success"
28.91,17.97,130,2,97.25,38.3,"Alpha","ui","baja","success"
22.42,7.4,155,0,80.46,20.04,"Beta","api","baja","success"
8.31,18.68,156,2,57.42,11.43,"Beta","auth","baja","rolled_back"
1.86,6.88,134,1,55.41,38.99,"Beta","core","baja","failed"
21.18,13.09,167,1,92.06,9.5,"Delta","auth","baja","success"
22.91,10.67,132,1,47.7,2.45,"Beta","ui","baja","success"
18.45,11.47,142,0,94,2.89,"Delta","auth","media","success"
21.71,10.23,149,2,85.44,34.26,"Alpha","auth","media","success"
32.53,10.85,151,2,59.41,18.25,"Delta","api","baja","success"
3.91,7.97,152,0,68.6,4.87,"Delta","auth","baja","success"
16.93,12.23,146,2,83.09,30.91,"Delta","ui","media","success"
36.42,5.63,146,1,73.04,10.27,"Beta","core","critica","success"
37.85,13.11,133,0,56.43,26.01,"Alpha","core","alta","success"
11.84,13.49,148,0,84.76,33.39,"Alpha","ui","baja","success"
16.9,11.31,155,2,51.17,24.29,"Beta","core","baja","success"
38.77,6.51,152,1,63.68,33.11,"Gamma","database","media","success"
38.64,15,143,3,51.06,7.69,"Beta","ui","media","success"
14.37,17.02,150,1,92.04,49.93,"Delta","database","critica","success"
7.9,7.69,130,1,99.16,150.96,"Beta","api","alta","success"
32.12,9.1,147,2,56.38,7.31,"Delta","auth","alta","success"
6.02,17.48,132,2,78.08,31.37,"Alpha","ui","baja","success"
2.97,8.47,136,0,65.97,8.56,"Alpha","database","media","success"
44.97,9.96,160,1,94.29,26.36,"Beta","core","baja","failed"
3.02,10.32,156,1,97.1,5.82,"Beta","api","media","success"
16.22,1.27,158,2,54.15,16.31,"Gamma","api","media","success"
41.31,8.21,167,1,76.3,12.72,"Gamma","ui","baja","success"
28.35,9.48,146,1,88.72,7.95,"Gamma","ui","baja","success"
13.95,11.36,156,1,70.27,1.59,"Beta","api","baja","success"
33.59,13.62,139,0,81.4,2.02,"Alpha","ui","alta","success"
37.78,13.8,134,0,53.66,9.8,"Delta","auth","baja","success"
15.17,17.87,159,2,93.17,39.25,"Gamma","api","alta","rolled_back"
22.93,13.49,169,3,46.48,44.71,"Delta","api","critica","success"
31.84,10.72,135,3,44.08,17.6,"Beta","database","baja","success"
29.4,6.57,145,3,75.58,6.24,"Gamma","core","media","success"
29.51,1.01,172,2,95.7,16.98,"Beta","database","media","failed"
44.04,3.04,143,1,75.19,60.96,"Delta","auth","baja","success"
19.54,10.29,153,1,45.38,15.6,"Delta","auth","baja","success"
6.69,10.46,163,1,95.99,17.8,"Alpha","api","alta","success"
24.38,2.75,136,1,91.66,13.43,"Gamma","auth","baja","success"
11.29,5.49,151,0,60.85,25.41,"Alpha","core","alta","success"
22.66,3.71,144,1,82.54,35.57,"Alpha","core","baja","success"
17.6,5.95,165,1,75.97,16.86,"Beta","api","baja","success"
44.28,3.47,142,2,49.87,10.44,"Alpha","ui","baja","success"
18.39,8.86,150,0,67.62,39.33,"Gamma","ui","baja","success"
11.47,4.64,152,0,40.48,3.63,"Delta","ui","critica","success"
28.61,2.02,161,2,94.82,11.08,"Gamma","auth","baja","success"
7.44,17.51,141,0,89.85,9.58,"Gamma","ui","media","success"
43.58,4.68,148,0,57.81,22.8,"Alpha","core","critica","success"
23.91,4.46,164,0,81.14,10.29,"Gamma","ui","critica","success"
8.59,6.67,146,0,79.35,28.12,"Delta","database","baja","success"
28.55,6.94,150,2,52,13.39,"Alpha","ui","baja","failed"
44.39,15.5,156,4,94.96,3.76,"Alpha","database","critica","rolled_back"
30.59,11.67,157,2,91.67,5.01,"Alpha","ui","baja","success"
19.72,3.66,133,1,86.85,3.61,"Gamma","api","alta","success"
15.57,16.36,149,2,88.58,40.4,"Beta","api","media","success"
37.83,18.48,177,1,86.83,25.2,"Beta","auth","media","success"
7.76,5.42,153,1,88.94,0.08,"Beta","ui","baja","success"
9.89,15.15,159,1,61.25,44.12,"Delta","api","alta","success"
40.51,4.48,137,2,92.98,86.81,"Alpha","auth","media","success"
14.9,16.67,133,1,81.25,8.72,"Alpha","auth","baja","success"
17.3,6.39,147,2,63.69,9.08,"Beta","database","media","failed"
35.6,15.45,178,2,48.36,7.16,"Alpha","core","baja","success"
9.91,2.85,140,1,75.04,2.76,"Gamma","auth","media","success"
2.27,16.97,177,1,81.38,20.11,"Alpha","api","alta","success"
19.19,16.51,144,0,55.1,0.32,"Beta","core","alta","success"
22.52,17.15,149,2,79.08,11.39,"Beta","core","baja","success"
19.85,0.78,158,3,46.67,27.33,"Beta","auth","media","success"
16.41,1.24,158,3,83.67,8.43,"Gamma","api","baja","success"
39.19,6.33,152,0,69.52,4.73,"Beta","ui","media","success"
21.3,6.87,164,3,89.23,8.71,"Beta","core","baja","success"
24.72,1.96,149,2,43.67,5.34,"Delta","api","baja","success"
43.43,14.31,155,1,88.61,23.8,"Gamma","database","critica","failed"
35.19,0.99,166,3,65.94,3.84,"Alpha","ui","media","success"
10.59,16.57,178,1,93.58,1.74,"Gamma","auth","critica","success"
14.93,10.47,143,0,89.83,70.08,"Alpha","core","media","success"
43.75,15.45,147,2,57.09,5.54,"Delta","auth","baja","success"
26.94,18.79,163,2,43.14,4.61,"Beta","database","critica","success"
34.6,11.07,151,0,59.29,4.7,"Beta","database","media","success"
17.71,19,139,2,71.26,29.33,"Beta","core","media","success"
34.96,6.68,177,0,83.47,0.13,"Beta","ui","alta","success"
24.89,6.09,136,1,69.72,36.05,"Delta","ui","alta","success"
41.26,19.38,163,1,88.29,3.31,"Delta","database","media","success"
9.56,5.24,124,2,53.05,53.22,"Delta","database","media","success"
13.78,16.09,150,3,47.68,22.17,"Gamma","api","media","success"
5.63,6.26,160,2,84.98,8.88,"Gamma","auth","media","failed"
10.66,14.09,148,1,67.06,11.06,"Gamma","core","media","rolled_back"
44,15.34,176,1,81.52,21.7,"Delta","ui","media","success"
14.39,5.84,128,1,46.12,21.75,"Gamma","auth","baja","success"
33.08,0.6,179,1,90.22,7.21,"Delta","core","media","success"
35.68,8.73,172,0,68.8,3.03,"Beta","core","critica","failed"
6.09,12.16,169,1,62.66,18.66,"Delta","core","media","success"
11.92,9.12,169,2,91.46,15.4,"Beta","api","media","success"
13.27,7.18,161,1,96.2,6.83,"Alpha","database","baja","success"
5.9,10.57,144,0,69.38,111.63,"Gamma","api","baja","success"
6.63,4.95,152,1,69.92,12,"Beta","api","baja","success"
44.62,6.14,132,2,48,11.7,"Beta","core","baja","success"
44.39,0.94,139,2,59.39,10.08,"Beta","core","baja","success"
7.46,10.8,146,0,43.17,11.13,"Alpha","database","baja","success"
40.88,8.66,156,0,65.43,2.59,"Gamma","database","baja","success"
26.57,19.51,153,0,98.63,31.64,"Delta","api","critica","success"
18.7,1.47,149,2,97.21,37.04,"Delta","auth","media","failed"
21.07,12.95,162,4,41.29,24.63,"Delta","core","media","success"
32.23,10.13,160,2,45.02,17.83,"Delta","ui","baja","success"
5.09,0.59,138,4,54.64,16.89,"Beta","ui","media","failed"
16.26,4.12,149,3,56.19,22.68,"Beta","ui","baja","success"
31.11,12.87,148,0,55.81,2.47,"Delta","auth","baja","success"
15.29,10.61,150,2,96.03,4.65,"Delta","database","alta","success"
